trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-80.04115442742398,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9801}",20,0,-27.483475321029616,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.970299}",30,0,-181.74916794793612,"{0: 19, 1: 1, 2: 6, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",30,0,-156.9836797353835,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",30,0,-136.01111349066815,"{0: 18, 1: 4, 2: 5, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",25,0,-105.71861991756217,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",25,0,-79.04248300003923,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",20,0,-126.67424033186411,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",25,0,-55.250154506214976,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",25,19,1.4485573079232097,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",20,0,-71.59191473104872,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",25,0,-155.45374262966706,"{0: 11, 1: 6, 2: 6, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,0,-104.40122495757127,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",20,0,-150.48200925069088,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",30,0,-181.99536451864137,"{0: 19, 1: 1, 2: 6, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",25,0,-126.86708642963558,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839268}",25,0,-82.20604768915344,"{0: 14, 1: 8, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500875}",25,0,-95.50727659376813,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355866}",20,0,-83.25332242146023,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",1
20,False,"{'a': 0.5, 'e': 0.8179069375972308}",30,0,-110.48067399999454,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212584}",20,10,-5.577820247266363,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.8016305895390459}",20,0,-82.51840253949594,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.7936142836436554}",20,6,-127.52133910270608,"{0: 5, 1: 4, 2: 2, 3: 1, 4: 2}",1
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",25,0,-143.2498198928493,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
25,False,"{'a': 0.5, 'e': 0.7778213593991467}",20,0,-146.9349673069142,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",20,0,-76.22567317105933,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",25,15,-48.78185123936741,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
28,False,"{'a': 0.5, 'e': 0.7547192872036326}",30,0,-167.188029197071,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",20,7,-9.189173881554693,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",30,0,-87.01298963070431,"{0: 18, 1: 5, 2: 6, 3: 1, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.7323033696543975}",25,0,-56.06298014640468,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.7249803359578534}",25,0,-125.56751907283102,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.7177305325982749}",20,0,-126.76010042145563,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.7105532272722921}",25,4,-22.988803690301165,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.7034476949995692}",25,11,-10.710977638759374,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.6964132180495735}",20,0,-146.6925685581442,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.6894490858690777}",30,0,-128.3850221477709,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.682554595010387}",35,13,-43.78866872747667,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 1}",1
39,False,"{'a': 0.5, 'e': 0.6757290490602831}",20,8,-19.326540409871388,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.6689717585696803}",25,0,-46.42308388671745,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.6622820409839835}",25,0,-44.68439827637896,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",25,4,-44.87938127829757,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",20,0,-104.23602609705324,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.6426116020847181}",30,14,-60.30751782735075,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.6361854860638709}",35,11,-19.564559149106817,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.6298236312032323}",25,15,4.600161649022227,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.6235253948912}",20,0,-65.43984998122883,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.617290140942288}",30,22,-3.7373957376904516,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.611117239532865}",30,2,-93.69813640197343,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.6050060671375364}",30,11,-77.27459414999393,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 1}",1
