trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",30,0,-63.34189751903698,"{0: 20, 1: 4, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9801}",25,8,-34.850955925696375,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.970299}",35,0,-249.52206749695324,"{0: 16, 1: 7, 2: 7, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",20,0,-31.950865915359895,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",20,0,-104.67304098336602,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",35,0,-225.102507037219,"{0: 15, 1: 6, 2: 11, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,0,-55.93165723402857,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",30,0,-99.97104483943929,"{0: 20, 1: 5, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",30,0,-132.5413704495409,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",20,0,-98.65361552528267,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",20,0,-55.28161560517977,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",25,0,-198.7576307898959,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,0,-152.2632901920186,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",25,0,-135.10130756840363,"{0: 15, 1: 3, 2: 2, 3: 4, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",25,0,-172.46160045198056,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",30,0,-127.39662455084955,"{0: 16, 1: 3, 2: 9, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839268}",20,0,-54.71220445408709,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500875}",30,0,-136.79825093780804,"{0: 20, 1: 3, 2: 3, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355866}",20,2,-30.289860535848565,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.8179069375972308}",25,0,-63.10609625923055,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212584}",30,0,-98.80474696884133,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.8016305895390459}",30,0,-55.06872707896651,"{0: 21, 1: 2, 2: 7, 3: 0, 4: 0}",0
