trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-140.77827070405863,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.81449570964494,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-181.95942993235855,"{0: 19, 1: 1, 2: 4, 3: 4, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.48048607745707,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.18640688709147,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-177.19639986457227,"{0: 15, 1: 4, 2: 1, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-78.58713100274085,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-39.44618840637169,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-40.46735059180954,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,10,-96.14184422246143,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-209.7019952326691,"{0: 10, 1: 3, 2: 1, 3: 2, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-197.77965758564815,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.4536803907761,"{0: 10, 1: 1, 2: 7, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.82646297508802,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-187.26978715063115,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.54253821125634,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.82720615190235,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.10839950908948,"{0: 9, 1: 4, 2: 4, 3: 3, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-34.65439362570152,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-174.29929762772264,"{0: 10, 1: 5, 2: 8, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-133.8089233609667,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-72.24387100266568,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-150.27464487922674,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-164.0711903762574,"{0: 8, 1: 2, 2: 8, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-147.7560830903883,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-128.86386307769706,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-150.57122541398044,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-67.10092742080812,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-335.0453537080906,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 6}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-81.97037726801081,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
